,TimeCategory,DOLocationID,Number of PickUps
0,afternoon,4,7024
1,afternoon,12,1506
2,afternoon,13,21179
3,afternoon,24,7505
4,afternoon,41,13182
5,afternoon,42,7427
6,afternoon,43,37618
7,afternoon,45,5604
8,afternoon,48,57330
9,afternoon,50,31483
10,afternoon,68,53730
11,afternoon,74,17006
12,afternoon,75,27364
13,afternoon,79,36289
14,afternoon,87,12785
15,afternoon,88,8607
16,afternoon,90,33969
17,afternoon,100,42749
18,afternoon,105,1
19,afternoon,107,40957
20,afternoon,113,32031
21,afternoon,114,21532
22,afternoon,116,3720
23,afternoon,120,71
24,afternoon,125,11940
25,afternoon,127,739
26,afternoon,128,99
27,afternoon,137,25271
28,afternoon,140,43389
29,afternoon,141,58059
30,afternoon,142,71639
31,afternoon,143,32341
32,afternoon,144,20560
33,afternoon,148,15789
34,afternoon,151,19806
35,afternoon,152,3279
36,afternoon,153,49
37,afternoon,158,25494
38,afternoon,161,101748
39,afternoon,162,70380
40,afternoon,163,61811
41,afternoon,164,51049
42,afternoon,166,18516
43,afternoon,170,71925
44,afternoon,186,64295
45,afternoon,194,201
46,afternoon,202,461
47,afternoon,209,4946
48,afternoon,211,22604
49,afternoon,224,6686
50,afternoon,229,40647
51,afternoon,230,65189
52,afternoon,231,36410
53,afternoon,232,7576
54,afternoon,233,31575
55,afternoon,234,70766
56,afternoon,236,115713
57,afternoon,237,116656
58,afternoon,238,52384
59,afternoon,239,66793
60,afternoon,243,1907
61,afternoon,244,5069
62,afternoon,246,47527
63,afternoon,249,31525
64,afternoon,261,9675
65,afternoon,262,29248
66,afternoon,263,41486
