,TimeCategory,PULocationID,Number of PickUps
0,afternoon,4,2346
1,afternoon,12,1720
2,afternoon,13,21552
3,afternoon,24,7509
4,afternoon,41,7367
5,afternoon,42,2739
6,afternoon,43,53432
7,afternoon,45,4268
8,afternoon,48,47935
9,afternoon,50,19235
10,afternoon,68,48919
11,afternoon,74,8079
12,afternoon,75,18244
13,afternoon,79,33106
14,afternoon,87,13654
15,afternoon,88,8250
16,afternoon,90,36786
17,afternoon,100,40795
18,afternoon,105,4
19,afternoon,107,45314
20,afternoon,113,32814
21,afternoon,114,18046
22,afternoon,116,2043
23,afternoon,120,7
24,afternoon,125,11266
25,afternoon,127,135
26,afternoon,128,19
27,afternoon,137,24652
28,afternoon,140,47878
29,afternoon,141,55343
30,afternoon,142,73942
31,afternoon,143,31924
32,afternoon,144,17242
33,afternoon,148,10409
34,afternoon,151,23652
35,afternoon,152,2374
36,afternoon,153,23
37,afternoon,158,17682
38,afternoon,161,102089
39,afternoon,162,80107
40,afternoon,163,63173
41,afternoon,164,47497
42,afternoon,166,15640
43,afternoon,170,70340
44,afternoon,186,78524
45,afternoon,194,700
46,afternoon,202,45
47,afternoon,209,3436
48,afternoon,211,16476
49,afternoon,224,3972
50,afternoon,229,38910
51,afternoon,230,60097
52,afternoon,231,33267
53,afternoon,232,2176
54,afternoon,233,29089
55,afternoon,234,66604
56,afternoon,236,122586
57,afternoon,237,130375
58,afternoon,238,55160
59,afternoon,239,72336
60,afternoon,243,294
61,afternoon,244,2248
62,afternoon,246,40764
63,afternoon,249,30388
64,afternoon,261,15226
65,afternoon,262,31838
66,afternoon,263,41385
