,PULocationID,Half Year Sum,01,02,03,04,05,06
0,4,14026,2514,2251,2627,2191,2346,2097
1,12,8994,1303,1052,1371,1697,1720,1851
2,13,121049,19092,17576,20694,21199,21552,20936
3,24,42709,7334,6295,7390,6783,7509,7398
4,41,46513,7842,7306,8797,7657,7367,7544
5,42,17746,2927,2758,3414,2916,2739,2992
6,43,289060,47775,41275,45818,52673,53432,48087
7,45,25063,4056,3793,4512,4546,4268,3888
8,48,295605,53867,46618,52527,47439,47935,47219
9,50,119787,19470,19468,23781,20197,19235,17636
10,68,294585,49669,45369,54385,50764,48919,45479
11,74,47906,7913,7377,9007,7690,8079,7840
12,75,110814,19598,18025,19821,18078,18244,17048
13,79,199671,35132,32484,35835,32752,33106,30362
14,87,78096,12483,11979,13863,13402,13654,12715
15,88,46562,7276,6735,8130,8344,8250,7827
16,90,223822,40122,36388,40254,36170,36786,34102
17,100,244086,41000,39439,44366,41028,40795,37458
18,107,265441,45817,42013,46955,43873,45314,41469
19,113,194658,34179,31731,34240,32628,32814,29066
20,114,110460,18888,18308,19708,18768,18046,16742
21,116,11671,1661,1688,2096,1883,2043,2300
22,120,48,9,5,11,7,7,9
23,125,68136,11741,11571,12090,11543,11266,9925
24,127,871,115,145,153,141,135,182
25,128,112,18,23,18,13,19,21
26,137,150737,28157,23790,26208,24247,24652,23683
27,140,282404,52972,44569,48136,46581,47878,42268
28,141,335734,63129,53315,57105,55604,55343,51238
29,142,424789,76187,67220,72617,70059,73942,64764
30,143,189644,36301,30641,32509,30314,31924,27955
31,144,100895,16892,16265,17966,16859,17242,15671
32,148,62555,10301,9892,11275,10556,10409,10122
33,151,138818,25176,21740,23558,21947,23652,22745
34,152,13147,1952,1909,2316,2123,2374,2473
35,153,170,33,29,41,25,23,19
36,158,105607,18326,17144,19422,16676,17682,16357
37,161,610286,106502,98426,108963,103552,102089,90754
38,162,472660,82749,74682,82371,78713,80107,74038
39,163,379776,66937,61306,66969,63726,63173,57665
40,164,286716,50475,46588,50706,47330,47497,44120
41,166,84840,12954,13317,14467,14181,15640,14281
42,170,414495,72010,65106,71942,68054,70340,67043
43,186,452358,76507,71311,78346,75415,78524,72255
44,194,1279,95,84,114,147,700,139
45,202,357,64,59,80,71,45,38
46,209,19555,3340,2911,3228,3219,3436,3421
47,211,100307,17370,16307,18017,17105,16476,15032
48,224,24698,4460,4006,4377,4035,3972,3848
49,229,231455,41332,36393,40108,38076,38910,36636
50,230,360718,64890,57630,63855,59292,60097,54954
51,231,200358,34230,32521,35635,33588,33267,31117
52,232,12700,2115,1887,2602,1963,2176,1957
53,233,168938,26908,25218,31507,28314,29089,27902
54,234,415109,74673,68571,74983,68520,66604,61758
55,236,704409,133555,112307,113587,117731,122586,104643
56,237,740508,134696,115256,121610,125093,130375,113478
57,238,321873,61038,52048,53188,52481,55160,47958
58,239,428799,80128,67316,73277,70493,72336,65249
59,243,1749,271,271,304,290,294,319
60,244,12471,1708,1926,2249,2173,2248,2167
61,246,235454,37229,36760,40321,42032,40764,38348
62,249,180350,31372,28586,31693,30218,30388,28093
63,261,87800,14228,12276,15325,15907,15226,14838
64,262,186861,35762,29488,30655,30788,31838,28330
65,263,256749,50586,41897,44037,40514,41385,38330
