,TimeCategory,DOLocationID,Number of PickUps
67,evening,4,14415
68,evening,12,328
69,evening,13,16441
70,evening,24,9811
71,evening,41,17242
72,evening,42,10606
73,evening,43,23394
74,evening,45,6103
75,evening,48,75687
76,evening,50,29538
77,evening,68,54793
78,evening,74,17771
79,evening,75,25738
80,evening,79,73614
81,evening,87,16289
82,evening,88,5282
83,evening,90,37569
84,evening,100,30967
85,evening,105,2
86,evening,107,59649
87,evening,113,38199
88,evening,114,29408
89,evening,116,6483
90,evening,120,67
91,evening,125,10371
92,evening,127,1784
93,evening,128,117
94,evening,137,35688
95,evening,140,39387
96,evening,141,70391
97,evening,142,74999
98,evening,143,40309
99,evening,144,21519
100,evening,148,27546
101,evening,151,25847
102,evening,152,3501
103,evening,153,108
104,evening,158,27497
105,evening,161,55142
106,evening,162,50043
107,evening,163,43443
108,evening,164,44986
109,evening,166,16918
110,evening,170,76000
111,evening,186,61294
112,evening,194,108
113,evening,202,1089
114,evening,209,6344
115,evening,211,19304
116,evening,224,14091
117,evening,229,54735
118,evening,230,58928
119,evening,231,36431
120,evening,232,12748
121,evening,233,35481
122,evening,234,59004
123,evening,236,98050
124,evening,237,80926
125,evening,238,60740
126,evening,239,72025
127,evening,243,4536
128,evening,244,6487
129,evening,246,39238
130,evening,249,50781
131,evening,261,7901
132,evening,262,39812
133,evening,263,56658
