,DOLocationID,Half Year Sum,01,02,03,04,05,06
0,4,85919,15246,14415,15815,13826,14450,12167
1,12,3614,390,328,672,679,691,854
2,13,112257,17356,16441,19759,19980,20091,18630
3,24,61275,10504,9811,10539,10185,10673,9563
4,41,107975,18163,17242,19018,17896,19216,16440
5,42,66063,10930,10606,12000,10926,11694,9907
6,43,163825,24138,23394,27838,31119,31048,26288
7,45,36452,5786,6103,6629,6192,6176,5566
8,48,469988,79058,75687,86193,79356,77177,72517
9,50,180795,29443,29538,32083,30151,30759,28821
10,68,348976,57092,54793,64354,60780,58340,53617
11,74,112598,18767,17771,19988,18311,20114,17647
12,75,158780,28052,25738,26925,25903,28220,23942
13,79,442760,75741,73614,82107,73309,74047,63942
14,87,103878,16895,16289,18310,17670,17949,16765
15,88,35881,5368,5282,6620,6218,6447,5946
16,90,231568,39821,37569,42765,40209,37842,33362
17,100,205396,33069,30967,39071,36012,33998,32279
18,107,362104,62959,59649,66169,60674,60318,52335
19,113,232293,39317,38199,42259,40918,38757,32843
20,114,181524,29941,29408,33763,30978,30748,26686
21,116,41361,6532,6483,7298,6718,7287,7043
22,120,530,77,67,93,103,97,93
23,125,68500,10644,10371,12264,12106,12041,11074
24,127,11316,1832,1784,2036,1930,1998,1736
25,128,701,106,117,130,132,116,100
26,137,209600,39183,35688,37771,33402,33840,29716
27,140,240812,44299,39387,41035,39477,41592,35022
28,141,431153,77641,70391,75622,72615,72016,62868
29,142,465077,82392,74999,80396,78262,81081,67947
30,143,246189,43760,40309,42562,41510,42455,35593
31,144,137947,21481,21519,25190,23758,24463,21536
32,148,173674,28013,27546,31376,30262,30109,26368
33,151,158793,28404,25847,27060,25778,27801,23903
34,152,21773,3404,3501,3864,3576,3655,3773
35,153,626,92,108,105,98,92,131
36,158,177308,27737,27497,31928,29752,31835,28559
37,161,367909,57752,55142,65471,65805,64677,59062
38,162,320388,54129,50043,56802,55280,54734,49400
39,163,278432,45547,43443,50211,47237,49056,42938
40,164,285479,46149,44986,52309,48451,49301,44283
41,166,102781,16263,16918,18141,17860,18037,15562
42,170,469256,80478,76000,85747,79655,76855,70521
43,186,366417,63573,61294,67676,59724,59593,54557
44,194,1185,101,108,125,217,319,315
45,202,6793,1110,1089,1369,1217,1046,962
46,209,40639,6176,6344,7343,6756,7169,6851
47,211,120667,18997,19304,21926,20804,21298,18338
48,224,84235,15164,14091,14754,13697,14606,11923
49,229,336791,59265,54735,58986,57192,56564,50049
50,230,395633,64817,58928,72070,69093,69094,61631
51,231,231421,37240,36431,41344,40998,40634,34774
52,232,78635,14094,12748,14319,13303,13075,11096
53,233,218938,38076,35481,39789,35962,36538,33092
54,234,367358,61714,59004,67014,62946,62410,54270
55,236,614483,108800,98050,101291,108540,107748,90054
56,237,533159,87673,80926,88672,95954,97646,82288
57,238,371008,68068,60740,63497,61226,63313,54164
58,239,448173,79388,72025,77255,74131,78151,67223
59,243,27890,4643,4536,5074,4589,4750,4298
60,244,41309,6610,6487,7233,7121,7209,6649
61,246,266877,40177,39238,46108,48655,48213,44486
62,249,314550,52691,50781,57928,53325,53093,46732
63,261,51856,8230,7901,9335,8904,9243,8243
64,262,242501,45289,39812,39947,39869,42065,35519
65,263,347324,63659,56658,59080,56990,59806,51131
