,TimeCategory,PULocationID,Number of PickUps
67,evening,4,3400
68,evening,12,818
69,evening,13,21386
70,evening,24,6702
71,evening,41,9216
72,evening,42,3402
73,evening,43,41602
74,evening,45,4172
75,evening,48,79874
76,evening,50,20225
77,evening,68,62956
78,evening,74,8467
79,evening,75,15447
80,evening,79,62122
81,evening,87,18192
82,evening,88,9636
83,evening,90,43897
84,evening,100,42799
85,evening,105,4
86,evening,107,57199
87,evening,113,40279
88,evening,114,33125
89,evening,116,2187
90,evening,120,5
91,evening,125,14874
92,evening,127,228
93,evening,128,17
94,evening,137,27475
95,evening,140,38286
96,evening,141,54289
97,evening,142,93725
98,evening,143,26586
99,evening,144,27317
100,evening,148,21734
101,evening,151,19448
102,evening,152,2254
103,evening,153,22
104,evening,158,24702
105,evening,161,108380
106,evening,162,101272
107,evening,163,76210
108,evening,164,58640
109,evening,166,14335
110,evening,170,75005
111,evening,186,76121
112,evening,194,192
113,evening,202,60
114,evening,209,5235
115,evening,211,22955
116,evening,224,3644
117,evening,229,47969
118,evening,230,93230
119,evening,231,43998
120,evening,232,3031
121,evening,233,33771
122,evening,234,86090
123,evening,236,92801
124,evening,237,119154
125,evening,238,44824
126,evening,239,68796
127,evening,243,374
128,evening,244,2028
129,evening,246,45830
130,evening,249,49693
131,evening,261,13871
132,evening,262,22807
133,evening,263,43945
