,PULocationID,Half Year Sum,01,02,03,04,05,06
0,4,19767,3422,3264,3748,3158,3400,2775
1,12,3814,290,272,500,709,818,1225
2,13,120856,18700,17204,21014,21097,21386,21455
3,24,37491,6178,5870,6614,6121,6702,6006
4,41,49381,7661,7718,9073,7885,9216,7828
5,42,18037,2655,2723,3340,3049,3402,2868
6,43,207884,29189,28286,32536,39241,41602,37030
7,45,25134,4037,4146,4528,4477,4172,3774
8,48,468302,76779,75069,84406,78523,79874,73651
9,50,116291,17315,18304,22055,19719,20225,18673
10,68,361834,54799,55162,66345,64368,62956,58204
11,74,44293,6556,6582,8233,7078,8467,7377
12,75,83108,13899,13021,14266,13546,15447,12929
13,79,368938,62555,61742,69031,60610,62122,52878
14,87,102477,16192,15307,18000,17387,18192,17399
15,88,56204,9085,8513,10546,9554,9636,8870
16,90,267944,44591,43714,50059,45584,43897,40099
17,100,266460,47324,43341,48747,44507,42799,39742
18,105,18,3,3,2,4,4,2
19,107,336221,59630,54592,60283,54628,57199,49889
20,113,241652,40052,40261,44373,42274,40279,34413
21,114,199367,33228,33149,36873,34722,33125,28270
22,116,12396,1878,1928,2353,2024,2187,2026
23,120,38,4,1,12,12,5,4
24,125,86938,13999,13796,15721,15072,14874,13476
25,127,1160,165,182,221,177,228,187
26,128,69,8,12,9,12,17,11
27,137,163611,29663,27036,29495,26008,27475,23934
28,140,221508,41492,36362,37840,36055,38286,31473
29,141,319381,57423,51946,55441,53261,54289,47021
30,142,517166,90973,85751,87738,82898,93725,76081
31,143,149073,25609,23320,25236,24910,26586,23412
32,144,156005,24385,24687,28343,27433,27317,23840
33,148,123935,19609,19928,22801,21042,21734,18821
34,151,112355,19327,18038,19228,18425,19448,17889
35,152,13071,1900,2077,2329,2160,2254,2351
36,153,140,22,20,35,22,22,19
37,158,139207,20802,21313,25621,23668,24702,23101
38,161,698732,121871,110907,128042,127689,108380,101843
39,162,617237,109221,99311,111799,105137,101272,90497
40,163,445286,75672,71439,79798,76094,76210,66073
41,164,346231,57902,55103,63459,59716,58640,51411
42,166,81336,12463,14291,14384,14384,14335,11479
43,170,451183,76635,72664,81690,76134,75005,69055
44,186,469186,79973,78796,87537,76654,76121,70105
45,194,756,92,84,107,138,192,143
46,202,382,64,59,76,76,60,47
47,209,27881,4027,3963,4901,4710,5235,5045
48,211,130833,20798,20946,23653,22358,22955,20123
49,224,19187,2975,3090,3176,3250,3644,3052
50,229,279983,48881,44772,49266,46791,47969,42304
51,230,590944,109502,96775,110286,101559,93230,79592
52,231,249349,39310,39059,43779,44193,43998,39010
53,232,17737,2679,2814,3669,3027,3031,2517
54,233,196662,31957,30785,36046,32194,33771,31909
55,234,520658,91559,85899,96207,88082,86090,72821
56,236,506075,90490,80352,80823,87249,92801,74360
57,237,631388,104791,95908,101924,111157,119154,98454
58,238,259815,47167,41515,42993,42597,44824,40719
59,239,383242,67638,60193,65472,62551,68796,58592
60,243,2152,333,330,376,357,374,382
61,244,10888,1585,1715,1882,1854,2028,1824
62,246,242244,31479,32557,41682,47972,45830,42724
63,249,297949,49330,49267,55433,49867,49693,44359
64,261,77899,11986,11201,13991,13961,13871,12889
65,262,127965,23034,20585,20704,21452,22807,19383
66,263,254218,46880,41941,42821,41108,43945,37523
