,TimeCategory,DOLocationID,Number of PickUps
133,morning,4,3070
134,morning,12,1486
135,morning,13,16904
136,morning,24,3544
137,morning,41,7009
138,morning,42,4531
139,morning,43,21013
140,morning,45,3507
141,morning,48,27566
142,morning,50,18309
143,morning,68,30250
144,morning,74,12355
145,morning,75,25293
146,morning,79,12661
147,morning,87,11351
148,morning,88,8881
149,morning,90,18675
150,morning,100,25517
151,morning,107,28080
152,morning,113,15860
153,morning,114,9520
154,morning,116,2008
155,morning,120,49
156,morning,125,8597
157,morning,127,440
158,morning,128,121
159,morning,137,25850
160,morning,140,41433
161,morning,141,32123
162,morning,142,35067
163,morning,143,18277
164,morning,144,8191
165,morning,148,4997
166,morning,151,7645
167,morning,152,2362
168,morning,153,71
169,morning,158,9985
170,morning,161,109233
171,morning,162,77624
172,morning,163,46654
173,morning,164,31536
174,morning,166,13115
175,morning,170,51844
176,morning,186,36179
177,morning,194,115
178,morning,202,120
179,morning,209,2982
180,morning,211,7589
181,morning,224,2146
182,morning,229,22308
183,morning,230,57504
184,morning,231,29191
185,morning,232,3647
186,morning,233,24580
187,morning,234,49961
188,morning,236,68141
189,morning,237,62517
190,morning,238,26922
191,morning,239,29861
192,morning,243,992
193,morning,244,5906
194,morning,246,41562
195,morning,249,13202
196,morning,261,5670
197,morning,262,13805
198,morning,263,21961
