,DOLocationID,Half Year Sum,01,02,03,04,05,06
0,4,16044,3070,2559,2899,2544,2563,2409
1,12,9602,1486,1331,1526,1797,1763,1699
2,13,105336,16904,15564,17174,19335,18687,17672
3,24,21085,3544,3207,3584,3562,3760,3428
4,41,39594,7009,6449,7177,6394,6505,6060
5,42,26023,4531,4148,5087,4090,4143,4024
6,43,125902,21013,19474,20064,23413,22647,19291
7,45,19948,3507,3208,3522,3362,3257,3092
8,48,155685,27566,25018,28584,25408,25561,23548
9,50,101237,18309,17233,18401,16426,15913,14955
10,68,175656,30250,27923,30578,29576,30008,27321
11,74,73399,12355,11433,12939,12011,12561,12100
12,75,140036,25293,22018,24208,23345,23630,21542
13,79,69628,12661,11343,12469,11518,11594,10043
14,87,62412,11351,9812,10342,10173,10727,10007
15,88,53422,8881,8073,8639,9482,9424,8923
16,90,103055,18675,16763,18084,17137,17034,15362
17,100,146660,25517,23141,25502,24489,24782,23229
18,107,146891,28080,24369,25519,23819,24134,20970
19,113,88009,15860,14691,15053,14871,14802,12732
20,114,55045,9520,9228,9526,9512,8941,8318
21,116,11974,2008,1704,2176,1885,2086,2115
22,120,290,49,50,56,48,46,41
23,125,50481,8597,8476,8387,8569,8513,7939
24,127,2333,440,346,394,355,393,405
25,128,706,121,119,102,117,110,137
26,137,131338,25850,21575,23021,21163,20649,19080
27,140,213457,41433,34488,36252,34556,35575,31153
28,141,167432,32123,27278,28152,27759,27073,25047
29,142,195896,35067,31192,33297,33229,33997,29114
30,143,95262,18277,15633,16424,15732,16019,13177
31,144,43501,8191,7100,7320,7104,7256,6530
32,148,29689,4997,4732,5211,4959,5092,4698
33,151,43389,7645,6776,7553,7032,7447,6936
34,152,14354,2362,2232,2715,2385,2478,2182
35,153,261,71,35,47,37,41,30
36,158,56769,9985,9388,9619,9416,9479,8882
37,161,598503,109233,93115,101467,99720,101243,93725
38,162,423623,77624,69799,73526,68832,69695,64147
39,163,265249,46654,41731,45297,45144,45455,40968
40,164,176001,31536,28074,31179,29523,29118,26571
41,166,83714,13115,13573,14043,14661,15970,12352
42,170,278063,51844,45704,47918,44837,44900,42860
43,186,221491,36179,33725,36720,35704,40408,38755
44,194,2023,115,107,191,418,797,395
45,202,851,120,121,170,163,158,119
46,209,18225,2982,2720,3260,3292,3182,2789
47,211,47468,7589,7927,8523,7927,8234,7268
48,224,12098,2146,1896,2082,1939,2091,1944
49,229,116783,22308,18738,20119,19141,18839,17638
50,230,321032,57504,51870,56889,53116,54049,47604
51,231,163545,29191,26500,28104,26979,27492,25279
52,232,19809,3647,3024,3469,3125,3422,3122
53,233,137540,24580,21068,25294,22671,22402,21525
54,234,273754,49961,44500,47103,45589,45910,40691
55,236,368739,68141,60277,58437,63963,66209,51712
56,237,353924,62517,55456,57609,61821,63049,53472
57,238,145647,26922,23871,23972,24452,25260,21170
58,239,161400,29861,25996,27832,25888,27454,24369
59,243,5796,992,841,961,917,1037,1048
60,244,33243,5906,5233,5835,5377,5534,5358
61,246,225168,41562,43503,37152,33968,35067,33916
62,249,74507,13202,11684,12364,12582,12935,11740
63,261,36312,5670,5331,6158,6377,6385,6391
64,262,71374,13805,11969,11219,11731,12251,10399
65,263,111785,21961,18286,18645,17952,18588,16353
