,TimeCategory,PULocationID,Number of PickUps
134,morning,4,2440
135,morning,12,233
136,morning,13,14418
137,morning,24,6096
138,morning,41,7428
139,morning,42,3606
140,morning,43,21379
141,morning,45,1460
142,morning,48,52761
143,morning,50,14650
144,morning,68,30409
145,morning,74,7425
146,morning,75,14490
147,morning,79,24081
148,morning,87,8406
149,morning,88,3163
150,morning,90,23620
151,morning,100,37425
152,morning,105,1
153,morning,107,35087
154,morning,113,20556
155,morning,114,8583
156,morning,116,2525
157,morning,120,12
158,morning,125,6628
159,morning,127,114
160,morning,128,9
161,morning,137,20500
162,morning,140,34225
163,morning,141,43098
164,morning,142,36943
165,morning,143,23979
166,morning,144,5553
167,morning,148,6325
168,morning,151,17660
169,morning,152,1703
170,morning,153,47
171,morning,158,11019
172,morning,161,35383
173,morning,162,44583
174,morning,163,25659
175,morning,164,25485
176,morning,166,8535
177,morning,170,49204
178,morning,186,65021
179,morning,194,51
180,morning,202,40
181,morning,209,2017
182,morning,211,5442
183,morning,224,5437
184,morning,229,31756
185,morning,230,29965
186,morning,231,20594
187,morning,232,1468
188,morning,233,19210
189,morning,234,30726
190,morning,236,73776
191,morning,237,61692
192,morning,238,37429
193,morning,239,38774
194,morning,243,250
195,morning,244,2236
196,morning,246,16976
197,morning,249,20720
198,morning,261,4541
199,morning,262,30034
200,morning,263,33643
