,PULocationID,Half Year Sum,01,02,03,04,05,06
0,4,14776,2900,2440,2650,2335,2356,2095
1,12,1530,256,233,264,281,263,233
2,13,91441,16211,14418,15679,15254,15618,14261
3,24,38418,6556,6096,6684,6295,6593,6194
4,41,46551,8263,7428,8670,7399,7806,6985
5,42,22894,4038,3606,4551,3585,3727,3387
6,43,128640,22653,21379,21070,22059,22384,19095
7,45,9149,1621,1460,1576,1532,1521,1439
8,48,321466,57618,52761,58959,54572,51109,46447
9,50,92648,15597,14650,16310,15751,15833,14507
10,68,181708,33042,30409,31558,29827,29970,26902
11,74,46642,8321,7425,8801,7415,7593,7087
12,75,89417,16260,14490,15723,14770,14802,13372
13,79,149684,26529,24081,26539,24900,25224,22411
14,87,55221,9283,8406,9219,9142,9904,9267
15,88,20154,3506,3163,3553,3494,3364,3074
16,90,144043,25139,23620,25157,24225,24113,21789
17,100,233255,44664,37425,38736,36668,38331,37431
18,107,218313,39951,35087,37377,36055,36561,33282
19,113,126157,22665,20556,21583,20905,21229,19219
20,114,51214,9212,8583,8710,8607,8437,7665
21,116,16298,2682,2525,3027,2584,2851,2629
22,120,47,14,12,4,7,5,5
23,125,41055,6678,6628,7023,7047,7240,6439
24,127,810,172,114,135,128,130,131
25,128,86,15,9,15,17,16,14
26,137,122745,24310,20500,21724,19394,19302,17515
27,140,210803,41227,34225,35071,34064,34756,31460
28,141,259779,49917,43098,43893,42148,42252,38471
29,142,233035,40772,36943,39575,39452,40687,35606
30,143,148795,26775,23979,25446,25127,25538,21930
31,144,33034,5622,5553,5720,5400,5742,4997
32,148,39807,6827,6325,7370,6622,6614,6049
33,151,109368,19438,17660,18643,18091,18735,16801
34,152,11036,1809,1703,2063,1749,1780,1932
35,153,252,59,47,59,35,32,20
36,158,67175,11043,11019,11853,11631,11373,10256
37,161,235585,41599,35383,39430,38995,40825,39353
38,162,286620,48790,44583,49442,49175,49822,44808
39,163,162395,26992,25659,27920,26899,29012,25913
40,164,156920,27210,25485,27598,26127,26321,24179
41,166,53575,9209,8535,9400,8877,9114,8440
42,170,296362,56159,49204,51020,47109,47720,45150
43,186,405744,71998,65021,70601,67545,67552,63027
44,194,462,63,51,66,76,107,99
45,202,293,49,40,76,53,30,45
46,209,11636,2253,2017,2093,1829,1784,1660
47,211,32698,5399,5442,5525,5411,5671,5250
48,224,32595,6094,5437,5775,5410,5119,4760
49,229,201736,37511,31756,33440,33327,34017,31685
50,230,190044,33049,29965,34023,30737,31632,30638
51,231,127618,22089,20594,20885,21706,22398,19946
52,232,8477,1584,1468,1688,1283,1345,1109
53,233,122976,22552,19210,20795,19864,20495,20060
54,234,192804,33778,30726,33040,32844,33091,29325
55,236,453437,83109,73776,72377,77865,79859,66451
56,237,395684,69816,61692,63350,68892,72393,59541
57,238,234498,41972,37429,39382,39766,40773,35176
58,239,240695,42776,38774,40506,40682,41904,36053
59,243,1676,333,250,286,265,268,274
60,244,14742,2671,2236,2703,2345,2395,2392
61,246,103234,17598,16976,17489,17503,17546,16122
62,249,131680,23284,20720,22056,21958,23003,20659
63,261,30380,4941,4541,5130,5239,5420,5109
64,262,186337,33616,30034,32048,31708,31102,27829
65,263,208177,38704,33643,35236,34945,34771,30878
