,TimeCategory,DOLocationID,Number of PickUps
201,night,4,7367
202,night,12,411
203,night,13,6879
204,night,24,4034
205,night,41,8725
206,night,42,7814
207,night,43,5523
208,night,45,3059
209,night,48,36028
210,night,50,13104
211,night,68,26690
212,night,74,9212
213,night,75,11431
214,night,79,36487
215,night,87,12355
216,night,88,3085
217,night,90,18205
218,night,100,11081
219,night,105,2
220,night,107,23182
221,night,113,10829
222,night,114,12075
223,night,116,7476
224,night,120,98
225,night,125,5119
226,night,127,1874
227,night,128,64
228,night,137,16068
229,night,140,11108
230,night,141,19286
231,night,142,14461
232,night,143,9944
233,night,144,10696
234,night,148,19520
235,night,151,8117
236,night,152,3285
237,night,153,107
238,night,158,11585
239,night,161,12757
240,night,162,15672
241,night,163,13332
242,night,164,18405
243,night,166,5744
244,night,170,27368
245,night,186,20653
246,night,194,30
247,night,202,603
248,night,209,3814
249,night,211,6846
250,night,224,5478
251,night,229,16164
252,night,230,20529
253,night,231,15011
254,night,232,6082
255,night,233,13972
256,night,234,16953
257,night,236,17048
258,night,237,13113
259,night,238,15498
260,night,239,15641
261,night,243,4284
262,night,244,7238
263,night,246,15794
264,night,249,20513
265,night,261,5133
266,night,262,10482
267,night,263,18026
