,DOLocationID,Half Year Sum,01,02,03,04,05,06
0,4,47361,8057,7989,9076,7473,7399,7367
1,12,2133,251,222,394,420,435,411
2,13,37668,5632,5472,6923,6277,6485,6879
3,24,22104,3506,3328,4044,3571,3621,4034
4,41,50018,8095,7459,9117,8127,8495,8725
5,42,44486,7084,6637,8331,7073,7547,7814
6,43,32336,4735,4570,5916,6059,5533,5523
7,45,18854,2953,3001,3675,3248,2918,3059
8,48,205359,33657,31589,38505,32269,33311,36028
9,50,75539,11873,11623,14195,12319,12425,13104
10,68,153691,24218,23940,29238,24443,25162,26690
11,74,54105,9046,8241,9742,8592,9272,9212
12,75,67270,11251,10346,12198,10745,11299,11431
13,79,227303,37759,39188,44428,35191,34250,36487
14,87,70771,11131,11285,13282,11006,11712,12355
15,88,17741,2874,2749,3252,2852,2929,3085
16,90,107398,16865,16865,20578,17566,17319,18205
17,100,63353,9625,9078,12253,10682,10634,11081
18,107,142479,22906,23405,27635,22661,22690,23182
19,113,65356,10188,10707,12452,10574,10606,10829
20,114,71024,11401,11523,13743,11309,10973,12075
21,116,37813,5844,5559,6595,5982,6357,7476
22,120,445,59,68,92,65,63,98
23,125,29124,4135,4412,5760,4800,4898,5119
24,127,9844,1555,1414,1681,1576,1744,1874
25,128,350,47,32,65,77,65,64
26,137,100329,17828,16864,18995,15237,15337,16068
27,140,65480,11148,10355,12023,10159,10687,11108
28,141,115032,19718,17846,21176,17922,19084,19286
29,142,85340,13475,12917,15601,14255,14631,14461
30,143,58409,9546,9019,10609,9428,9863,9944
31,144,62928,9163,10083,11947,10490,10549,10696
32,148,118335,19205,19579,22917,18857,18257,19520
33,151,46252,7730,6994,8284,7320,7807,8117
34,152,16620,2624,2483,3058,2489,2681,3285
35,153,534,90,82,96,75,84,107
36,158,61889,9459,9477,11549,9638,10181,11585
37,161,77890,12258,11055,14667,13569,13584,12757
38,162,90020,14428,13211,16759,14806,15144,15672
39,163,80012,12265,12007,14890,13192,14326,13332
40,164,108380,16618,16694,20324,17830,18509,18405
41,166,32881,4912,5081,6073,5505,5566,5744
42,170,161400,26941,25731,30417,24712,26231,27368
43,186,120465,19266,19075,22480,18888,20103,20653
44,194,175,27,27,34,27,30,30
45,202,3911,585,565,785,767,606,603
46,209,21909,3340,3287,4231,3518,3719,3814
47,211,42422,6496,6836,8215,6905,7124,6846
48,224,36954,6089,6513,7019,5930,5925,5478
49,229,95922,15826,15085,17790,15160,15897,16164
50,230,114008,17290,16018,21216,18473,20482,20529
51,231,86251,13225,13148,16174,14451,14242,15011
52,232,39355,6919,6533,7365,6374,6082,6082
53,233,84791,14113,13826,15952,13299,13629,13972
54,234,101022,15697,15994,19493,16471,16414,16953
55,236,96909,16117,14230,16970,15745,16799,17048
56,237,73738,11602,10582,13083,12111,13247,13113
57,238,87211,14400,12920,15585,13962,14846,15498
58,239,91951,14994,13830,17114,14856,15516,15641
59,243,22227,3352,3302,3931,3709,3649,4284
60,244,38435,6040,5691,7085,6045,6336,7238
61,246,84601,13284,12961,15072,13268,14222,15794
62,249,121920,19465,19310,23689,19175,19768,20513
63,261,29728,4693,4521,5688,4944,4749,5133
64,262,61390,9966,9403,11198,9893,10448,10482
65,263,109322,18759,17391,20566,16895,17685,18026
