,TimeCategory,PULocationID,Number of PickUps
201,night,4,3194
202,night,12,153
203,night,13,2776
204,night,24,1654
205,night,41,3000
206,night,42,1351
207,night,43,4337
208,night,45,1913
209,night,48,38257
210,night,50,7363
211,night,68,26794
212,night,74,2844
213,night,75,3690
214,night,79,46219
215,night,87,4518
216,night,88,2516
217,night,90,15785
218,night,100,13917
219,night,105,2
220,night,107,19551
221,night,113,10975
222,night,114,23175
223,night,116,1249
224,night,120,7
225,night,125,6037
226,night,127,109
227,night,128,6
228,night,137,8946
229,night,140,5333
230,night,141,11521
231,night,142,18494
232,night,143,3447
233,night,144,14117
234,night,148,32863
235,night,151,2964
236,night,152,756
237,night,153,5
238,night,158,15875
239,night,161,24759
240,night,162,16897
241,night,163,18321
242,night,164,23278
243,night,166,2956
244,night,170,16835
245,night,186,20294
246,night,194,33
247,night,202,23
248,night,209,2131
249,night,211,9044
250,night,224,1056
251,night,229,10727
252,night,230,36367
253,night,231,14643
254,night,232,2106
255,night,233,5788
256,night,234,23844
257,night,236,7750
258,night,237,13856
259,night,238,6265
260,night,239,11106
261,night,243,214
262,night,244,1018
263,night,246,15342
264,night,249,31293
265,night,261,2356
266,night,262,2240
267,night,263,10621
