DOLocationID,Number of DropOffs
236,265327
237,255927
161,253101
170,207258
162,193524
230,189173
48,183122
142,175211
186,173487
234,169400
239,166806
141,159046
68,153021
163,152392
79,139762
238,138160
246,138159
164,133285
107,132525
263,121664
229,119632
140,116648
249,107237
231,106288
100,102842
233,96444
90,94613
43,88316
137,87948
143,87693
113,83261
262,83089
75,81648
50,80231
158,70705
148,64987
114,64921
13,64759
151,57482
144,56729
74,55199
211,52055
87,51617
166,50869
41,42760
125,34348
261,29216
4,28433
42,28174
232,26744
88,26387
224,25427
24,24223
244,23935
116,20137
209,18382
45,17011
152,12118
243,11556
12,4884
127,4698
202,2013
194,1179
128,398
153,307
120,287
105,8
