DOLocationID,Number of DropOffs
236,313994
237,299887
161,277416
170,216395
162,208894
230,208523
142,202211
234,188940
48,188030
239,187211
186,183212
141,174721
163,169383
68,161998
238,155624
79,152676
107,146832
246,145695
164,142959
263,135049
140,131610
229,130035
231,116346
249,116284
100,107928
233,102478
90,102207
43,100626
143,100585
113,95027
262,94491
137,94428
75,89835
50,84149
158,74708
114,70310
148,68485
13,67468
151,63141
144,62173
166,59552
74,58099
211,58030
87,53241
41,45935
125,36542
4,31107
261,29971
42,29711
232,29667
224,29009
88,27471
24,25678
244,24147
116,19067
209,18997
45,17598
152,11765
243,11312
127,4793
12,4602
194,2562
202,2212
128,393
153,252
120,249
105,8
