PULocationID,Number of PickUps
237,283861
236,272739
161,265737
162,234464
186,232848
230,216361
48,208851
234,207985
142,207129
170,203178
239,175783
163,174292
79,169351
141,159067
68,155857
107,150948
164,149715
238,136905
100,132942
249,129385
263,128176
229,123384
140,120340
90,118572
231,105874
113,102796
246,98788
43,93998
114,85084
262,82205
143,80936
233,80511
137,80470
148,73904
158,65435
144,60174
151,60172
50,59315
13,51549
211,51104
75,48847
87,39772
166,39280
125,37711
261,30113
41,25016
74,23710
88,20663
24,19797
224,13646
4,11759
45,11535
209,10649
42,10400
232,8720
116,7310
244,6777
152,6379
12,1620
243,1038
127,506
194,256
202,172
153,98
128,45
120,26
105,9
