,LocationID,zone
0,1,Newark Airport
1,2,Jamaica Bay
2,3,Allerton/Pelham Gardens
3,4,Alphabet City
4,5,Arden Heights
5,6,Arrochar/Fort Wadsworth
6,7,Astoria
7,8,Astoria Park
8,9,Auburndale
9,10,Baisley Park
10,11,Bath Beach
11,12,Battery Park
12,13,Battery Park City
13,14,Bay Ridge
14,15,Bay Terrace/Fort Totten
15,16,Bayside
16,17,Bedford
17,18,Bedford Park
18,19,Bellerose
19,20,Belmont
20,21,Bensonhurst East
21,22,Bensonhurst West
22,23,Bloomfield/Emerson Hill
23,24,Bloomingdale
24,25,Boerum Hill
25,26,Borough Park
26,27,Breezy Point/Fort Tilden/Riis Beach
27,28,Briarwood/Jamaica Hills
28,29,Brighton Beach
29,30,Broad Channel
30,31,Bronx Park
31,32,Bronxdale
32,33,Brooklyn Heights
33,34,Brooklyn Navy Yard
34,35,Brownsville
35,36,Bushwick North
36,37,Bushwick South
37,38,Cambria Heights
38,39,Canarsie
39,40,Carroll Gardens
40,41,Central Harlem
41,42,Central Harlem North
42,43,Central Park
43,44,Charleston/Tottenville
44,45,Chinatown
45,46,City Island
46,47,Claremont/Bathgate
47,48,Clinton East
48,49,Clinton Hill
49,50,Clinton West
50,51,Co-Op City
51,52,Cobble Hill
52,53,College Point
53,54,Columbia Street
54,55,Coney Island
55,56,Corona
56,56,Corona
57,58,Country Club
58,59,Crotona Park
59,60,Crotona Park East
60,61,Crown Heights North
61,62,Crown Heights South
62,63,Cypress Hills
63,64,Douglaston
64,65,Downtown Brooklyn/MetroTech
65,66,DUMBO/Vinegar Hill
66,67,Dyker Heights
67,68,East Chelsea
68,69,East Concourse/Concourse Village
69,70,East Elmhurst
70,71,East Flatbush/Farragut
71,72,East Flatbush/Remsen Village
72,73,East Flushing
73,74,East Harlem North
74,75,East Harlem South
75,76,East New York
76,77,East New York/Pennsylvania Avenue
77,78,East Tremont
78,79,East Village
79,80,East Williamsburg
80,81,Eastchester
81,82,Elmhurst
82,83,Elmhurst/Maspeth
83,84,Eltingville/Annadale/Prince's Bay
84,85,Erasmus
85,86,Far Rockaway
86,87,Financial District North
87,88,Financial District South
88,89,Flatbush/Ditmas Park
89,90,Flatiron
90,91,Flatlands
91,92,Flushing
92,93,Flushing Meadows-Corona Park
93,94,Fordham South
94,95,Forest Hills
95,96,Forest Park/Highland Park
96,97,Fort Greene
97,98,Fresh Meadows
98,99,Freshkills Park
99,100,Garment District
100,101,Glen Oaks
101,102,Glendale
102,103,Governor's Island/Ellis Island/Liberty Island
102,103,Governor's Island/Ellis Island/Liberty Island
102,103,Governor's Island/Ellis Island/Liberty Island
103,103,Governor's Island/Ellis Island/Liberty Island
103,103,Governor's Island/Ellis Island/Liberty Island
103,103,Governor's Island/Ellis Island/Liberty Island
104,103,Governor's Island/Ellis Island/Liberty Island
104,103,Governor's Island/Ellis Island/Liberty Island
104,103,Governor's Island/Ellis Island/Liberty Island
105,106,Gowanus
