Street,Lat,Lon
1 AVE,-73.96345338756167,40.756054845771686
1 CT,-73.96251793049507,40.6045818130341
1 PL,-73.99841692361898,40.68071352099317
1 ST,-73.9668111414684,40.66659045344285
10 AVE,-73.95709557969032,40.70346497058635
10 ST,-73.98596033653311,40.68482179947992
100 AVE,-73.7498881151031,40.712471607362325
100 DR,-73.73178826273158,40.71468221658786
100 RD,-73.7302197209443,40.714969586027784
100 ST,-73.87621274396538,40.720163308352724
101 AVE,-73.83050170680664,40.68857287406302
101 RD,-73.83740172720636,40.68600555721134
101 ST,-73.86612534488611,40.71386274189371
102 AVE,-73.80871752560532,40.694151266777155
102 RD,-73.84756301566016,40.68232821585092
102 ST,-73.8519258243314,40.71717879594071
103 AVE,-73.81651953272711,40.69030426652987
103 DR,-73.83593182284298,40.68333695847526
103 RD,-73.7971836003735,40.69865096851825
103 ST,-73.85379895648478,40.72588797447873
104 AVE,-73.75862351660298,40.70815586906745
104 RD,-73.77870594607376,40.70325519645555
104 ST,-73.84909215891552,40.71405282596189
105 AVE,-73.77830398282923,40.70173951692335
105 ST,-73.84592699032585,40.70816341182073
106 AVE,-73.77554969114287,40.701081802380344
106 RD,-73.77913731812555,40.702763970674056
106 ST,-73.84408098649412,40.70580664386133
107 AVE,-73.806324748484,40.690377987465595
107 RD,-73.80646176964288,40.68835469993186
107 ST,-73.84138722444929,40.700417903108544
108 AVE,-73.78316299695592,40.69692417503995
108 DR,-73.78723097500159,40.696875095741184
108 RD,-73.78695013210344,40.697673567454856
108 ST,-73.84635236096541,40.71812707194337
109 AVE,-73.79417724709037,40.69222431371649
109 DR,-73.79062866568927,40.69311931522315
109 RD,-73.781682259988,40.69719670400043
109 ST,-73.83804139105271,40.69683355178225
11 AVE,-73.93866187426833,40.700327163659324
11 ST,-73.97327212542355,40.69395731769806
110 AVE,-73.76847359787587,40.699655539471124
110 RD,-73.77594778081607,40.697089092203264
110 ST,-73.83996809662071,40.70690884626309
111 AVE,-73.7861703596212,40.69216683264707
111 RD,-73.75739772334607,40.70221986251228
111 ST,-73.84063855811694,40.71060536804988
112 AVE,-73.75117414102458,40.702331038233254
112 PL,-73.85719041294267,40.758787361358685
112 RD,-73.74510233633964,40.70319438916044
112 ST,-73.83664393436959,40.70274759128277
113 AVE,-73.75154415274959,40.70050279011496
113 DR,-73.73471334918784,40.70249786792068
113 PL,-73.83345415422475,40.7181005776576
113 RD,-73.75942214480443,40.69947691514479
113 ST,-73.83176567358208,40.693878328778716
114 AVE,-73.74024146729968,40.701024193221755
114 DR,-73.75260614136046,40.69811900137468
114 PL,-73.82524218128395,40.67210756841981
114 RD,-73.75264282989338,40.69725360162783
114 ST,-73.8302314147766,40.68881622867162
114 TER,-73.72884797035317,40.69944910204236
115 AVE,-73.78566767134917,40.68732388664307
115 CT,-73.74117656650596,40.70064449443076
115 DR,-73.77543311450603,40.689369355174776
115 RD,-73.76888791179942,40.69162852382389
115 ST,-73.83121776166878,40.69786287522561
115 TER,-73.74146766206727,40.70008253498314
116 AVE,-73.78140298493194,40.68637630951808
116 DR,-73.78932360142345,40.68238667493455
116 RD,-73.77906251630151,40.68650223845706
116 ST,-73.83006874803274,40.69641330131108
117 RD,-73.7540423930354,40.692764417824456
117 ST,-73.83030526659745,40.70210497478267
118 AVE,-73.76311624192421,40.687886271263714
118 RD,-73.77443161187139,40.68526867506551
118 ST,-73.82729267885146,40.69297904573896
119 AVE,-73.76488823431794,40.68636092316981
119 DR,-73.77419041377959,40.6832698459307
119 RD,-73.77738561832203,40.68306764356422
119 ST,-73.8489993525509,40.78484821294814
12 AVE,-73.94585830273707,40.67856814954197
12 RD,-73.80842470199192,40.762472764278776
12 ST,-73.96589149365136,40.70681617924293
12 ST EXT,-73.99699321716311,40.67193172413074
120 AVE,-73.7652292411538,40.68461505689672
120 RD,-73.75962714180719,40.68628095018313
120 ST,-73.82981824324528,40.71106327812913
121 AVE,-73.76084422362686,40.68379725727746
121 ST,-73.82887734379966,40.711379437398904
122 AVE,-73.7696728239541,40.68185371076143
122 PL,-73.8169088381877,40.670801821595475
122 ST,-73.82731113564236,40.70903996027585
123 AVE,-73.79419373419289,40.675287951670605
123 ST,-73.82736811346852,40.71221355281267
124 AVE,-73.78745526845255,40.67581808061224
124 PL,-73.82814898440425,40.70631280818201
124 ST,-73.8263822387397,40.712200261381476
125 AVE,-73.76021542381271,40.68177725279931
125 ST,-73.82634697556992,40.715960704711975
126 AVE,-73.76119871626913,40.68195112267787
126 PL,-73.84411865213318,40.76074218892759
126 ST,-73.82508188849981,40.714363368347925
127 AVE,-73.7695643146235,40.68045434594895
127 PL,-73.8423987394145,40.761159804132625
127 ST,-73.82458839984561,40.717156652047805
128 AVE,-73.76197247787385,40.67989267824306
128 DR,-73.72943651678408,40.68087848139057
128 RD,-73.73077977731866,40.68187197635406
128 ST,-73.82342203155568,40.7192609966423
129 AVE,-73.75981371505115,40.67872193946558
129 RD,-73.72742163654213,40.67872731050145
129 ST,-73.82346354479438,40.7163045633804
13 AVE,-73.96118139510038,40.66204659169343
13 RD,-73.82201917664584,40.787643711413615
13 ST,-73.97818301425114,40.68198278604768
130 AVE,-73.76340197037484,40.67787301231644
130 DR,-73.74744720731546,40.68330632802871
130 PL,-73.80886433515823,40.66874510265528
130 RD,-73.74032309660512,40.67933013230306
130 ST,-73.81920573810994,40.70577247552729
131 AVE,-73.7576838822476,40.677193507150804
131 RD,-73.72893955253585,40.67619610036964
131 ST,-73.81368273607507,40.690166725912285
132 AVE,-73.76442830338858,40.67575562995601
132 RD,-73.73808069789885,40.67793891779059
132 ST,-73.81288378914446,40.69001058423483
133 AVE,-73.79991271965748,40.67410427584426
133 DR,-73.72863293654558,40.67254614800278
133 PL,-73.83450769549293,40.78660638568375
133 RD,-73.75333532720263,40.67816331474782
133 ST,-73.81074192482767,40.68495011955223
134 AVE,-73.78670896177297,40.67278716421366
134 PL,-73.80434522692927,40.667243279223534
134 RD,-73.77450294854613,40.67667270207774
134 ST,-73.81153858488571,40.68962445728887
135 AVE,-73.77918582579267,40.671988715052414
135 DR,-73.8368277872879,40.67258855938535
135 PL,-73.80266196332582,40.6707153221852
135 RD,-73.79694506002217,40.67173100066963
135 ST,-73.80964485426303,40.68900790234589
136 AVE,-73.75147739934019,40.672892871887605
136 RD,-73.73961324470916,40.67178778844425
136 ST,-73.82945839029054,40.7365781602361
137 AVE,-73.75510729084864,40.672536702960485
137 RD,-73.74251370427898,40.67136401796613
137 ST,-73.82892665212142,40.749551474457775
138 AVE,-73.74537058591228,40.67120356564415
138 PL,-73.81381315470682,40.70441434910909
138 RD,-73.75329825806055,40.67341413604042
138 ST,-73.8251524506477,40.734086112113445
139 AVE,-73.7441522597041,40.66881940833512
139 RD,-73.76501948209332,40.67180068206852
139 ST,-73.81143552008429,40.70237519436832
14 AVE,-73.92081438138514,40.697840241643
14 PL,-73.92735121411499,40.77481968347238
14 RD,-73.83813769093636,40.754160484858346
14 ST,-73.9665645171503,40.70457225727292
140 AVE,-73.76354855526324,40.671220200255874
140 ST,-73.80758818849353,40.695238203925186
141 AVE,-73.74951631820366,40.66857586051561
141 PL,-73.82113818436807,40.722629392155106
141 RD,-73.75349891308043,40.669701230068874
141 ST,-73.81118270076577,40.71021218596936
142 AVE,-73.75398960312498,40.66703053462375
