Street,Base
1 AVE,24846
1 ST,3
10 AVE,836
10 ST,1062
101 AVE,125
102 ST,57
103 ST,709
104 ST,134
106 ST,65
108 ST,485
11 AVE,901
11 ST,619
111 ST,107
112 ST,142
115 ST,66
116 ST,25
118 ST,61
12 AVE,55
12 ST,2114
120 ST,297
124 ST,135
125 ST,71
13 AVE,339
13 ST,1909
135 ST,78
138 ST,128
14 AVE,4145
14 ST,86
141 ST,158
145 ST,6097
148 ST,158
149 ST,7
15 ST,555
150 ST,43
153 ST,46
16 AVE,517
16 ST,389
160 ST,79
161 ST,41
162 ST,29
163 ST,254
164 ST,30
165 ST,6
167 ST,99
168 ST,34
17 ST,347
170 ST,51
18 AVE,471
18 ST,2175
180 ST,73
181 ST,52
187 ST,66
188 ST,71
19 ST,775
2 AVE,68413
2 ST,891
20 ST,1016
207 ST,112
21 ST,704
22 ST,1083
23 AVE,416
23 ST,1320
231 ST,2019
24 ST,583
25 ST,285
26 ST,138
27 ST,36
28 ST,698
29 ST,176
3 AVE,35338
3 ST,469
30 AVE,2027
30 ST,1178
31 AVE,463
31 ST,8
33 ST,170
34 AVE,123
34 ST,39
35 AVE,729
35 ST,1088
36 AVE,16309
36 ST,143
37 AVE,96
37 ST,242
38 AVE,194
38 ST,602
39 AVE,735
39 ST,502
4 AVE,305
4 ST,454
40 ST,389
41 AVE,74
41 ST,320
42 ST,2535
43 AVE,1295
43 ST,1964
44 ST,853
45 ST,1406
46 ST,253
47 ST,243
48 ST,1708
49 ST,934
5 AVE,1452
5 ST,1262
50 ST,674
51 ST,194
52 ST,49
53 ST,268
54 ST,346
55 ST,86
56 ST,19
57 ST,217
59 ST,664
6 AVE,2065
6 ST,1046
60 ST,99
61 ST,781
62 ST,234
63 ST,315
64 ST,294
65 ST,347
66 ST,339
67 ST,390
69 ST,455
7 AVE,1365
7 ST,245
70 ST,793
71 AVE,170
71 ST,188
72 ST,344
73 ST,737
74 ST,209
75 ST,179
76 ST,145
77 ST,116
78 ST,75
79 ST,431
8 AVE,26
8 ST,866
80 ST,620
81 ST,55
82 ST,97
83 ST,126
84 ST,345
85 ST,221
86 ST,104
87 ST,7
88 ST,464
89 AVE,130
89 ST,9
9 AVE,64
9 ST,654
90 AVE,125
91 ST,21
92 ST,412
93 ST,109
94 ST,50
95 ST,49
96 ST,190
97 ST,70
98 ST,88
99 ST,89
ALLEN ST,2698
ALLERTON AVE,804
AMSTERDAM AVE,17460
ARTHUR AVE,17683
ASTORIA BLVD,384
ATLANTIC AVE,379
AUSTIN ST,285
AVE ST,519
BAINBRIDGE AVE,1325
BAYCHESTER AVE,299
BEACH AVE,2101
BEDFORD AVE,1082
BELL BLVD,1056
BERGEN ST,990
BLEECKER ST,4426
BORDEN AVE,224
BOWERY,3335
BRIDGE ST,2119
BROAD ST,2049
BROADWAY,14416
BROOME ST,39920
BRUCKNER BLVD,391
BURNSIDE AVE,4
CANAL ST,7988
CARROLL ST,891
CHURCH AVE,628
CHURCH ST,3343
CLINTON ST,1734
COLUMBUS AVE,101990
COURT ST,2152
DEAN ST,76
DEKALB AVE,2817
DITMARS BLVD,453
DYCKMAN ST,4432
EMMONS AVE,728
FLATBUSH AVE,275
FRANKLIN AVE,8
FRONT ST,88
FULTON ST,832
GRAHAM AVE,148
GRAND AVE,1410
GRAND ST,7850
GREENPOINT AVE,182
GREENWICH ST,5989
HENRY ST,1004
HILL AVE,2555
HILLSIDE AVE,19
HOYT AVE,133
HUDSON ST,18462
HYLAN BLVD,392
JAMAICA AVE,300
JEROME AVE,1175
JORALEMON ST,1216
JUNCTION BLVD,136
KINGS HWY,272
KISSENA BLVD,210
KNAPP ST,699
LAFAYETTE AVE,99
LAFAYETTE ST,2017
LENOX AVE,12576
LEXINGTON AVE,3
LIBERTY AVE,254
LINDEN BLVD,448
LIVINGSTON ST,3416
LUDLOW ST,194
MADISON AVE,32879
MADISON ST,1344
MAIN ST,827
MANHATTAN AVE,2649
MCDONALD AVE,479
MCGUINNESS BLVD,3619
MERCER ST,61977
MERRICK BLVD,3986
METROPOLITAN AVE,452
MIDLAND AVE,60
MONTAGUE ST,2487
MORRIS AVE,182
MOTT ST,19318
MULBERRY ST,9877
MURRAY ST,104
MYRTLE AVE,1463
NORTHERN BLVD,138
NOSTRAND AVE,130
OCEAN AVE,332
ORCHARD ST,10591
PACIFIC ST,406
PARK AVE,675
PARK PL,348
PARSONS BLVD,6
PEARL ST,1928
PENNSYLVANIA AVE,329
PINE ST,149
PITKIN AVE,71
PRESIDENT ST,644
PRINCE ST,9324
QUEENS BLVD,625
RALPH AVE,181
REMSEN AVE,576
REMSEN ST,2205
RICHMOND AVE,371
RIVERSIDE DR,1399
ROCKAWAY BLVD,11402
ROGERS AVE,342
ROOSEVELT AVE,880
SANFORD AVE,358
SEAVIEW AVE,1145
SMITH ST,1070
SOUTHERN BLVD,369
SPRING ST,556
SPRINGFIELD BLVD,1932
STEINWAY ST,3233
STERLING PL,398
SUTPHIN BLVD,24
TREMONT AVE,2758
UNION ST,1402
UNION TPKE,21
UNIVERSITY AVE,599
UTICA AVE,175
VALENTINE AVE,616
VANDERBILT AVE,167
VICTORY BLVD,17
WALTON AVE,1217
WARREN ST,250
WASHINGTON AVE,2248
WASHINGTON ST,74949
WATER ST,93
WEBSTER AVE,592
WEST ST,388
WESTCHESTER AVE,373
WHITE PL,4999
WOODHAVEN BLVD,100
YORK AVE,16043
