Street,Base
1 AVE,2860
1 CT,30
1 PL,187
1 ST,2
10 AVE,5
10 ST,263
100 DR,4
100 ST,4
101 AVE,7
102 AVE,2
102 ST,2
103 AVE,9
103 DR,9
103 ST,89
104 AVE,10
105 AVE,2
105 ST,6
107 AVE,4
107 ST,28
108 AVE,4
108 DR,2
108 ST,4
109 AVE,6
109 DR,3
109 ST,10
11 AVE,37
11 ST,166
111 ST,6
112 AVE,1
112 PL,21
112 ST,2
113 AVE,4
113 DR,5
113 PL,26
113 ST,3
114 AVE,2
114 PL,10
114 ST,6
114 TER,15
115 AVE,2
115 DR,1
115 ST,2
115 TER,1
116 AVE,6
116 DR,4
116 ST,2
117 ST,19
118 ST,22
119 AVE,1
119 ST,13
12 AVE,27
12 ST,121
120 ST,3
121 ST,8
122 AVE,1
122 PL,11
122 ST,5
123 AVE,7
123 ST,10
124 AVE,2
124 PL,5
124 ST,3
125 ST,3
126 AVE,1
126 PL,7
127 PL,2
128 ST,1
13 AVE,73
13 ST,739
130 DR,8
130 PL,76
130 ST,15
131 ST,1
132 AVE,5
132 ST,1
133 AVE,18
133 DR,8
133 PL,32
133 ST,15
134 AVE,3
134 ST,1
135 AVE,2
135 DR,5
135 PL,89
135 ST,5
136 AVE,5
137 AVE,1
137 ST,49
138 AVE,6
138 PL,26
138 ST,4
139 ST,10
14 AVE,91
14 PL,33
14 ST,8
140 AVE,14
141 PL,2
142 PL,6
142 ST,1
143 AVE,4
143 PL,4
143 ST,3
144 AVE,3
144 DR,10
144 PL,13
144 ST,1
144 TER,7
145 DR,20
145 PL,8
145 ST,28
146 AVE,7
146 DR,1
146 PL,12
146 ST,5
146 TER,7
147 AVE,4
147 RD.,3
147 ST,13
148 AVE,1
148 PL,8
148 ST,4
149 AVE,16
149 DR,11
149 PL,3
149 ST,1
15 AVE,32
15 DR,9
15 ST,119
150 AVE,8
150 DR,2
150 PL,1
151 AVE,8
151 PL,10
151 ST,16
152 AVE,29
152 ST,16
153 AVE,4
153 CT,22
153 LN,27
153 PL,1
153 ST,5
154 PL,7
154 ST,2
155 AVE,1
155 ST,3
156 AVE,4
156 PL,1
156 ST,6
157 AVE,5
157 ST,1
158 AVE,2
158 ST,40
159 AVE,1
159 DR,1
159 ST,8
16 AVE,42
16 DR,2
16 ST,241
160 AVE,4
160 ST,1
161 AVE,5
161 PL,6
161 ST,2
162 AVE,11
162 ST,1
163 PL,3
163 ST,25
164 AVE,3
164 PL,8
165 AVE,4
165 ST,3
