Street,Ride_Count,Violation_Count
COLUMBUS AVE,101990,46570
WASHINGTON ST,74949,12526
2 AVE,68413,116327
MERCER ST,61977,7677
BROOME ST,39920,8072
3 AVE,35338,191990
MADISON AVE,32879,97935
1 AVE,24846,106774
MOTT ST,19318,16175
HUDSON ST,18462,8300
ARTHUR AVE,17683,11449
AMSTERDAM AVE,17460,63362
36 AVE,16309,7157
YORK AVE,16043,27876
BROADWAY,14416,245810
LENOX AVE,12576,10778
ROCKAWAY BLVD,11402,15621
ORCHARD ST,10591,12224
MULBERRY ST,9877,8714
PRINCE ST,9324,9155
CANAL ST,7988,7287
GRAND ST,7850,19562
145 ST,6097,7754
GREENWICH ST,5989,18842
WHITE PL,4999,42393
DYCKMAN ST,4432,7667
BLEECKER ST,4426,10370
14 AVE,4145,10205
MERRICK BLVD,3986,7969
MCGUINNESS BLVD,3619,10201
LIVINGSTON ST,3416,16728
CHURCH ST,3343,10987
BOWERY,3335,10236
STEINWAY ST,3233,30166
DEKALB AVE,2817,13262
TREMONT AVE,2758,30822
ALLEN ST,2698,7917
MANHATTAN AVE,2649,23483
HILL AVE,2555,8996
42 ST,2535,29617
MONTAGUE ST,2487,11342
WASHINGTON AVE,2248,29344
REMSEN ST,2205,8889
18 ST,2175,23573
COURT ST,2152,31335
BRIDGE ST,2119,7668
12 ST,2114,30604
BEACH AVE,2101,9248
6 AVE,2065,62842
BROAD ST,2049,7548
30 AVE,2027,19578
231 ST,2019,7191
LAFAYETTE ST,2017,8183
43 ST,1964,50295
SPRINGFIELD BLVD,1932,11106
PEARL ST,1928,16124
13 ST,1909,34208
CLINTON ST,1734,12446
48 ST,1708,39922
MYRTLE AVE,1463,37326
5 AVE,1452,128351
GRAND AVE,1410,12617
45 ST,1406,47935
UNION ST,1402,13264
RIVERSIDE DR,1399,18941
7 AVE,1365,85668
MADISON ST,1344,10027
BAINBRIDGE AVE,1325,8977
23 ST,1320,37003
43 AVE,1295,9719
5 ST,1262,14803
WALTON AVE,1217,12651
JORALEMON ST,1216,7498
30 ST,1178,27812
JEROME AVE,1175,31082
SEAVIEW AVE,1145,11134
35 ST,1088,42147
22 ST,1083,20481
BEDFORD AVE,1082,20771
SMITH ST,1070,10936
10 ST,1062,22990
BELL BLVD,1056,13279
6 ST,1046,16387
20 ST,1016,15111
HENRY ST,1004,13757
BERGEN ST,990,9444
49 ST,934,36496
11 AVE,901,14428
CARROLL ST,891,7360
2 ST,891,12461
ROOSEVELT AVE,880,43480
8 ST,866,20930
44 ST,853,37459
