Street,Date_Issued
(I.S. 216) ON 174 ST,1
.,1
.HOLLAND AVE,1
.OCEAN AVE,1
/CO CROSS BRONX,1
/EB I/O E 125 ST,0
/ES MONTGOMERY AVE,1
/S JEWEL ST,1
/S MYRTLE AVE,1
0  C/O E 166 ST,1
0  C/O WEBB AVE,1
0  N/W C/O E 174 ST,1
0  N/WC/O SHERMAN AV,1
0  S/E C/O NELSON AV,1
0 FT S/E C/O 3RD AVE,2
02 ST,1
02ND AVE,1
03 QUEEN BLVD,1
04 44 21051,0
04TH AVE,1
05 LIBERTY AVE,2
05AVE,1
068 ST,1
090 ST,1
0FEET,1
0FT E/OF AUDUBON AVE,1
0FT EAST 102 ST,1
0FT FROM S/E/C WEST,1
0FT N/W CO ST MARKS,2
0FT S/E/ CORNER,1
0FT S/O AVE M,1
0FT S/OF PARK AV,1
0FT SOUTH OF PORE AV,1
0FT W/OF AMSTERDAM A,1
0TSEGO ST,1
0XFORD ST,1
1,2
1 1  IN 1 10 0  1,1
1 1 1 R NI35TCII ITI,1
1 1 96 EUWCMPHM,1
1 11 1 OIRNOMNBIV,1
1 11 WOIUH SI,1
1 110 CS4LM 2,1
1 13 1 3P KULLS VL,1
1 146ST,1
1 24 DROQMTPARKM,1
1 29 ISLLMMK 2,1
1 31 L KRICIGMMM,2
1 325E49T61 9P28,1
1 4042 N1  1 I21R1,1
1 65 HUTSONST,1
1 7 ST,1
1 APRK,1
1 AV,20
1 AVE,1120
1 AVE (METROPOLITAN,1
1 AVE LOOP,2
1 AVE NY NY,1
1 AVE SERVICE LANE,1
1 AVE.,1
1 AVENUE,101
1 BAY,1
1 BRAODWAY,1
1 DR,1
1 E ST,1
1 I14 WSIDN TM,1
1 IJU IN M SH U,1
1 J TC 5,1
1 LGA,1
1 NEWUTRECHT AVE,2
1 ORCHARD BEACH,1
1 ORCHARD BEACH ROAD,1
1 ORCHARD BEACH ROD,1
1 PARK AVE,1
1 PENN PLAZA,3
1 PL,2
1 PLACE,5
1 PLACE.,1
1 R3 7 7 L NVJLN N,1
1 ST,192
1 ST  AVE,1
1 ST 139 ST,1
1 ST AV,2
1 ST AVE,402
1 ST AVENUE,46
1 ST AVER,1
1 ST AVW,1
1 ST NICHOLAS TERR,0
1 ST PL,1
1 ST PLACE,11
1 ST ST,8
