,dt,temp,humidity,wind_speed,clouds_all,weather_main,weather_description
0,2013-12-31 19:00:00 EST-0500,-0.22,42,7.7,40,Clouds,scattered clouds
1,2013-12-31 20:00:00 EST-0500,-0.81,46,4.6,1,Clear,sky is clear
2,2013-12-31 21:00:00 EST-0500,-1.24,44,3.6,1,Clear,sky is clear
3,2013-12-31 22:00:00 EST-0500,-1.98,42,6.2,20,Clouds,few clouds
4,2013-12-31 23:00:00 EST-0500,-2.42,38,3.1,1,Clear,sky is clear
5,2014-01-01 00:00:00 EST-0500,-3.04,39,4.6,1,Clear,sky is clear
6,2014-01-01 01:00:00 EST-0500,-3.6,37,7.7,1,Clear,sky is clear
7,2014-01-01 02:00:00 EST-0500,-3.63,41,4.1,1,Clear,sky is clear
8,2014-01-01 03:00:00 EST-0500,-4.23,45,4.1,1,Clear,sky is clear
9,2014-01-01 04:00:00 EST-0500,-4.06,43,5.7,1,Clear,sky is clear
10,2014-01-01 05:00:00 EST-0500,-4.44,47,2.39,1,Clear,sky is clear
11,2014-01-01 06:00:00 EST-0500,-4.48,51,1.5,1,Clear,sky is clear
12,2014-01-01 07:00:00 EST-0500,-3.98,45,4.6,40,Clouds,scattered clouds
13,2014-01-01 08:00:00 EST-0500,-4.1,52,2.1,1,Clear,sky is clear
14,2014-01-01 09:00:00 EST-0500,-1.93,50,2.6,1,Clear,sky is clear
15,2014-01-01 10:00:00 EST-0500,-1.25,46,5.1,40,Clouds,scattered clouds
16,2014-01-01 11:00:00 EST-0500,-0.55,48,4.6,1,Clear,sky is clear
17,2014-01-01 12:00:00 EST-0500,-0.29,46,3.1,75,Clouds,broken clouds
18,2014-01-01 13:00:00 EST-0500,0.15,46,3.1,40,Clouds,scattered clouds
19,2014-01-01 14:00:00 EST-0500,0.48,49,3.6,20,Clouds,few clouds
20,2014-01-01 15:00:00 EST-0500,0.48,51,3.6,1,Clear,sky is clear
21,2014-01-01 16:00:00 EST-0500,0.7,46,0.95,90,Clouds,overcast clouds
22,2014-01-01 17:00:00 EST-0500,0.56,49,1.25,90,Clouds,overcast clouds
23,2014-01-01 18:00:00 EST-0500,0.72,46,1.75,1,Clear,sky is clear
24,2014-01-01 19:00:00 EST-0500,0.32,53,2.1,90,Clouds,overcast clouds
25,2014-01-01 20:00:00 EST-0500,0.24,53,2.6,40,Clouds,scattered clouds
26,2014-01-01 21:00:00 EST-0500,-0.03,55,2.1,90,Clouds,overcast clouds
27,2014-01-01 22:00:00 EST-0500,0.05,53,4.1,90,Clouds,overcast clouds
28,2014-01-01 23:00:00 EST-0500,0.3,58,5.1,90,Clouds,overcast clouds
29,2014-01-02 00:00:00 EST-0500,0.28,58,3.6,90,Clouds,overcast clouds
30,2014-01-02 01:00:00 EST-0500,0.45,60,5.1,90,Clouds,overcast clouds
31,2014-01-02 02:00:00 EST-0500,0.19,60,3.6,90,Clouds,overcast clouds
32,2014-01-02 03:00:00 EST-0500,0.19,65,3.6,90,Clouds,overcast clouds
33,2014-01-02 04:00:00 EST-0500,-0.72,78,10.3,90,Snow,light snow
34,2014-01-02 05:00:00 EST-0500,-1.7,74,4.6,90,Clouds,overcast clouds
35,2014-01-02 06:00:00 EST-0500,-2.26,80,6.69,90,Rain,light rain
36,2014-01-02 07:00:00 EST-0500,-2.42,80,6.7,90,Clouds,overcast clouds
37,2014-01-02 08:00:00 EST-0500,-2.54,74,6.7,90,Clouds,overcast clouds
38,2014-01-02 09:00:00 EST-0500,-2.65,71,6.7,90,Clouds,overcast clouds
39,2014-01-02 10:00:00 EST-0500,-2.67,77,10.8,90,Clouds,overcast clouds
40,2014-01-02 11:00:00 EST-0500,-2.7,74,4.6,90,Clouds,overcast clouds
41,2014-01-02 12:00:00 EST-0500,-2.85,79,11.3,90,Clouds,overcast clouds
42,2014-01-02 13:00:00 EST-0500,-3.05,74,9.3,90,Clouds,overcast clouds
43,2014-01-02 14:00:00 EST-0500,-3.49,74,4.1,90,Clouds,overcast clouds
44,2014-01-02 15:00:00 EST-0500,-3.37,74,4.6,90,Clouds,overcast clouds
45,2014-01-02 16:00:00 EST-0500,-3.45,77,7.7,90,Clouds,overcast clouds
