,Year,Month,Day,Hour,temp,humidity,wind_speed,clouds_all,Morning,Afternoon,Evening,Night,Spring,Summer,Fall,Winter,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Snow,Thunderstorm
0,2013,12,31,19,-0.22,42,7.7,40,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,2013,12,31,20,-0.81,46,4.6,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2,2013,12,31,21,-1.24,44,3.6,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3,2013,12,31,22,-1.98,42,6.2,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4,2013,12,31,23,-2.42,38,3.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
5,2014,1,1,0,-3.04,39,4.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
6,2014,1,1,1,-3.6,37,7.7,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
7,2014,1,1,2,-3.63,41,4.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
8,2014,1,1,3,-4.23,45,4.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2014,1,1,4,-4.06,43,5.7,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
10,2014,1,1,5,-4.44,47,2.39,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,2014,1,1,6,-4.48,51,1.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,2014,1,1,7,-3.98,45,4.6,40,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
13,2014,1,1,8,-4.1,52,2.1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,2014,1,1,9,-1.93,50,2.6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15,2014,1,1,10,-1.25,46,5.1,40,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
16,2014,1,1,11,-0.55,48,4.6,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,2014,1,1,12,-0.29,46,3.1,75,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,2014,1,1,13,0.15,46,3.1,40,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
19,2014,1,1,14,0.48,49,3.6,20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20,2014,1,1,15,0.48,51,3.6,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2014,1,1,16,0.7,46,0.95,90,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22,2014,1,1,17,0.56,49,1.25,90,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23,2014,1,1,18,0.72,46,1.75,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
24,2014,1,1,19,0.32,53,2.1,90,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
25,2014,1,1,20,0.24,53,2.6,40,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
