,Year,Month,Day,Hour,temp,humidity,wind_speed,clouds_all,Morning,Afternoon,Evening,Night,Spring,Summer,Fall,Winter,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Snow,Thunderstorm
0,2015,1,1,0,-2.32,43,2.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,2015,1,1,1,-2.77,38,3.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
2,2015,1,1,2,-2.58,46,4.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
3,2015,1,1,3,-2.81,45,3.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4,2015,1,1,4,-2.72,38,6.7,20,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
5,2015,1,1,5,-2.69,40,1.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
6,2015,1,1,6,-2.99,41,3.62,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7,2015,1,1,7,-3.19,38,5.7,20,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
8,2015,1,1,8,-3.15,41,3.1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
9,2015,1,1,9,-1.62,38,3.21,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,2015,1,1,10,-0.16,35,6.7,20,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
11,2015,1,1,11,0.77,34,1.5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,2015,1,1,12,2.05,32,5.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
13,2015,1,1,13,3.24,30,7.2,40,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,2015,1,1,14,3.89,27,3.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
15,2015,1,1,15,4.47,28,4.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
16,2015,1,1,16,4.54,32,6.7,20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17,2015,1,1,17,4.24,30,5.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
18,2015,1,1,18,4.02,33,3.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,2015,1,1,19,3.85,36,6.7,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20,2015,1,1,20,3.44,38,3.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
21,2015,1,1,21,3.42,40,4.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
22,2015,1,1,22,3.19,42,7.7,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
23,2015,1,1,23,2.91,42,4.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
24,2015,1,2,0,2.52,43,4.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
25,2015,1,2,1,2.49,43,5.7,40,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
26,2015,1,2,2,2.48,41,3.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
27,2015,1,2,3,2.21,41,3.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
28,2015,1,2,4,2.26,38,7.2,20,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
