,Year,Month,Day,Hour,temp,humidity,wind_speed,clouds_all,Morning,Afternoon,Evening,Night,Spring,Summer,Fall,Winter,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Snow,Thunderstorm,Number of rides,normlzed
0,2015,1,1,0,-2.32,43,2.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,28312,1.5666844530517183
1,2015,1,1,1,-2.77,38,3.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,31707,2.0239312545366808
2,2015,1,1,2,-2.58,46,4.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,28068,1.5338219436077327
3,2015,1,1,3,-2.81,45,3.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,24288,1.0247224120574647
4,2015,1,1,4,-2.72,38,6.7,20,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,17081,0.05406624171810459
5,2015,1,1,5,-2.69,40,1.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9112,-1.0192179294258334
6,2015,1,1,6,-2.99,41,3.62,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6637,-1.3525569084170803
7,2015,1,1,7,-3.19,38,5.7,20,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6011,-1.4368681006791089
8,2015,1,1,8,-3.15,41,3.1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5586,-1.4941081273745755
9,2015,1,1,9,-1.62,38,3.21,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6977,-1.3067648870607071
10,2015,1,1,10,-0.16,35,6.7,20,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9949,-0.9064887474397026
11,2015,1,1,11,0.77,34,1.5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13870,-0.3783989952681152
12,2015,1,1,12,2.05,32,5.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,16582,-0.01314028374316095
13,2015,1,1,13,3.24,30,7.2,40,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,17448,0.10349468829983696
14,2015,1,1,14,3.89,27,3.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17994,0.17703128730154233
15,2015,1,1,15,4.47,28,4.1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18279,0.2154157757914435
16,2015,1,1,16,4.54,32,6.7,20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16602,-0.010446635428080166
17,2015,1,1,17,4.24,30,5.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17511,0.11197968049234144
18,2015,1,1,18,4.02,33,3.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18082,0.1888833398878978
19,2015,1,1,19,3.85,36,6.7,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16485,-0.026204478071302748
20,2015,1,1,20,3.44,38,3.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15017,-0.22391826439823226
21,2015,1,1,21,3.42,40,4.1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,14801,-0.2530096662011047
22,2015,1,1,22,3.19,42,7.7,20,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,14005,-0.36021686914131984
23,2015,1,1,23,2.91,42,4.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,11610,-0.6827812548722436
24,2015,1,2,0,2.52,43,4.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,9388,-0.9820455826777188
25,2015,1,2,1,2.49,43,5.7,40,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,6291,-1.3991570242679778
26,2015,1,2,2,2.48,41,3.6,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4027,-1.7040780135351226
27,2015,1,2,3,2.21,41,3.1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2905,-1.8551916840111544
28,2015,1,2,4,2.26,38,7.2,20,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2626,-1.8927680780065317
