,year,month,day,hour,Number of rides,normlzed
0,2015,1,1,0,28312,1.5666844530517183
1,2015,1,1,1,31707,2.023931254536681
2,2015,1,1,2,28068,1.5338219436077327
3,2015,1,1,3,24288,1.0247224120574647
4,2015,1,1,4,17081,0.05406624171810459
5,2015,1,1,5,9112,-1.0192179294258334
6,2015,1,1,6,6637,-1.3525569084170803
7,2015,1,1,7,6011,-1.4368681006791089
8,2015,1,1,8,5586,-1.4941081273745755
9,2015,1,1,9,6977,-1.3067648870607071
10,2015,1,1,10,9949,-0.9064887474397026
11,2015,1,1,11,13870,-0.37839899526811516
12,2015,1,1,12,16582,-0.01314028374316095
13,2015,1,1,13,17448,0.10349468829983696
14,2015,1,1,14,17994,0.17703128730154233
15,2015,1,1,15,18279,0.2154157757914435
16,2015,1,1,16,16602,-0.010446635428080166
17,2015,1,1,17,17511,0.11197968049234143
18,2015,1,1,18,18082,0.1888833398878978
19,2015,1,1,19,16485,-0.026204478071302748
20,2015,1,1,20,15017,-0.22391826439823223
21,2015,1,1,21,14801,-0.2530096662011047
22,2015,1,1,22,14005,-0.36021686914131984
23,2015,1,1,23,11610,-0.6827812548722436
24,2015,1,2,0,9388,-0.9820455826777187
25,2015,1,2,1,6291,-1.3991570242679778
26,2015,1,2,2,4027,-1.7040780135351226
27,2015,1,2,3,2905,-1.8551916840111544
28,2015,1,2,4,2626,-1.8927680780065315
29,2015,1,2,5,2755,-1.8753940463742604
30,2015,1,2,6,5811,-1.4638045838299167
31,2015,1,2,7,8256,-1.134506077311291
32,2015,1,2,8,10946,-0.7722103789329257
33,2015,1,2,9,13373,-0.4453361558978726
34,2015,1,2,10,15243,-0.19348003843781938
35,2015,1,2,11,16999,0.043022283626273375
36,2015,1,2,12,19252,0.3464617663201236
37,2015,1,2,13,19023,0.31561949311244863
38,2015,1,2,14,20260,0.4822216414001951
39,2015,1,2,15,20429,0.5049829696626277
40,2015,1,2,16,18223,0.2078735605092173
41,2015,1,2,17,20680,0.5387882560168915
42,2015,1,2,18,23008,0.8523289198922946
43,2015,1,2,19,23227,0.8818243689424292
44,2015,1,2,20,20153,0.46781062291451286
45,2015,1,2,21,19611,0.3948127535758236
46,2015,1,2,22,21722,0.6791273332326003
47,2015,1,2,23,21088,0.5937386816445395
48,2015,1,3,0,19467,0.375418485707242
49,2015,1,3,1,16660,-0.002635055314345896
50,2015,1,3,2,13607,-0.41382047061142746
51,2015,1,3,3,10620,-0.8161168464687424
52,2015,1,3,4,7061,-1.2954515641373678
53,2015,1,3,5,3512,-1.7734394576484527
54,2015,1,3,6,4120,-1.691552548869997
55,2015,1,3,7,5216,-1.54394062120357
56,2015,1,3,8,7908,-1.1813755579936966
57,2015,1,3,9,11869,-0.6478985091919475
58,2015,1,3,10,14975,-0.22957492585990188
59,2015,1,3,11,17966,0.17326017966042925
60,2015,1,3,12,21644,0.6686221048037853
61,2015,1,3,13,23718,0.9479534350776625
62,2015,1,3,14,24143,1.005193461773129
63,2015,1,3,15,23494,0.9177845739487577
64,2015,1,3,16,20350,0.49434305881805857
65,2015,1,3,17,22295,0.7563003574596647
66,2015,1,3,18,25305,1.1616944288793225
67,2015,1,3,19,25667,1.2104494633822849
68,2015,1,3,20,20531,0.5187205760695397
69,2015,1,3,21,21399,0.6356249129440457
70,2015,1,3,22,22409,0.7716541528556252
71,2015,1,3,23,22833,0.8287594971353378
72,2015,1,4,0,20632,0.5323235000606976
73,2015,1,4,1,17494,0.10969007942452276
74,2015,1,4,2,13485,-0.4302517253334202
