hour,date,total ride count,difference from mean
0,2015-01-01,6465,1.7459633103792833
0,2015-01-02,1284,-1.1055265972789996
0,2015-01-03,2294,-0.5496484257416776
0,2015-01-04,3465,0.09484002858525724
0,2015-01-05,1053,-1.2326630899771396
0,2015-01-06,1075,-1.2205548525773169
0,2015-01-07,1226,-1.1374483140603509
0,2015-01-08,1654,-0.9018880591910697
0,2015-01-09,2101,-0.6558706902037599
0,2015-01-10,4278,0.5422944379514383
0,2015-01-11,5537,1.2352158418776644
0,2015-01-12,1026,-1.2475231995132858
0,2015-01-13,1490,-0.9921494652624765
0,2015-01-14,1457,-1.0103118213622109
0,2015-01-15,1517,-0.9772893557263302
0,2015-01-16,2126,-0.642111329522143
0,2015-01-17,4643,0.7431811039030448
0,2015-01-18,4787,0.822435021429158
0,2015-01-19,1772,-0.8369438767738381
0,2015-01-20,989,-1.267887053322079
0,2015-01-21,1291,-1.101673976288147
0,2015-01-22,1518,-0.9767389812990657
0,2015-01-23,2168,-0.6189956035770267
0,2015-01-24,4660,0.7525374691665443
0,2015-01-25,4834,0.8483026195105978
0,2015-01-26,1110,-1.2012917476230531
0,2015-01-28,916,-1.3080643865124002
0,2015-01-29,1526,-0.9723359858809483
0,2015-01-30,2551,-0.408202197934656
0,2015-01-31,5711,1.330980992221718
0,2015-02-01,5940,1.4570167360653288
0,2015-02-02,1751,-0.8485017397463963
0,2015-02-03,1355,-1.0664500129432077
0,2015-02-04,1663,-0.8969346893456877
0,2015-02-05,1723,-0.8639122237098071
0,2015-02-06,2721,-0.3146385452996612
0,2015-02-07,4903,0.8862784549918604
0,2015-02-08,5358,1.1366988193972876
0,2015-02-09,1230,-1.135246816351292
0,2015-02-10,1327,-1.0818604969066186
0,2015-02-11,1822,-0.8094251554106043
0,2015-02-12,2171,-0.6173444802952326
0,2015-02-13,3568,0.1515285945935188
0,2015-02-14,6284,1.646345539044377
0,2015-02-15,6260,1.6331365527900248
0,2015-02-16,3881,0.32379579032736217
0,2015-02-17,1838,-0.8006191645743695
0,2015-02-18,1981,-0.7219156214755209
0,2015-02-19,2074,-0.6707307997399061
0,2015-02-20,3319,0.014485362204614646
0,2015-02-21,5756,1.3557478414486284
0,2015-02-22,6276,1.6419425436262596
0,2015-02-23,2481,-0.4467284078431833
0,2015-02-24,1681,-0.8870279496549235
0,2015-02-25,1980,-0.7224659959027856
0,2015-02-26,2065,-0.6756841695852882
0,2015-02-27,2991,-0.16603744993819886
0,2015-02-28,5347,1.130644700697376
0,2015-03-01,5211,1.0557937785893803
0,2015-03-02,1289,-1.1027747251426763
0,2015-03-03,1508,-0.9822427255717123
0,2015-03-04,1893,-0.7703485710748124
0,2015-03-05,2212,-0.5947791287773809
0,2015-03-06,2753,-0.2970265636271916
0,2015-03-07,5500,1.2148519880688715
0,2015-03-08,5534,1.2335647185958705
0,2015-03-09,1393,-1.04553578470715
0,2015-03-10,1458,-1.009761446934946
0,2015-03-11,1892,-0.770898945502077
0,2015-03-12,2107,-0.6525684436401719
0,2015-03-13,2922,-0.20401328541946145
0,2015-03-14,4881,0.8741702175920375
0,2015-03-15,4853,0.8587597336286266
0,2015-03-16,1510,-0.9811419767171831
0,2015-03-17,1379,-1.0532410266888554
0,2015-03-18,2305,-0.5435943070417661
0,2015-03-19,2352,-0.5177267089603264
0,2015-03-20,2744,-0.3019799334725737
0,2015-03-21,5075,0.9809428564813846
0,2015-03-22,5946,1.4603189826289167
0,2015-03-23,1665,-0.8958339404911584
0,2015-03-24,1723,-0.8639122237098071
0,2015-03-25,1888,-0.7731004432111358
0,2015-03-26,2166,-0.620096352431556
0,2015-03-27,3735,0.24344112394671957
0,2015-03-28,5682,1.3150201338310425
0,2015-03-29,6925,1.999135546921034
0,2015-03-30,1610,-0.9261045339907155
0,2015-03-31,1746,-0.8512536118827196
0,2015-04-01,1863,-0.7868598038927527
0,2015-04-02,2306,-0.5430439326145015
0,2015-04-03,3835,0.2984785666731871
0,2015-04-04,3886,0.32654766246368555
0,2015-04-05,4241,0.5219305841426453
0,2015-04-06,1294,-1.100022853006353
0,2015-04-07,1584,-0.940414269099597
0,2015-04-08,2036,-0.6916450279759638
0,2015-04-09,2334,-0.5276334486510905
0,2015-04-10,3184,-0.05981518547611652
0,2015-04-11,5076,0.9814932309086492
0,2015-04-12,6086,1.5373714024459713
0,2015-04-13,1600,-0.9316082782633622
0,2015-04-14,1558,-0.9547240042084786
0,2015-04-15,1761,-0.8429979954737495
0,2015-04-16,2241,-0.5788182703867053
0,2015-04-17,3073,-0.12090674690249549
0,2015-04-18,5689,1.3188727548218953
0,2015-04-19,6852,1.9589582137307127
0,2015-04-20,1703,-0.8749197122551007
0,2015-04-21,1953,-0.7373261054389318
0,2015-04-22,1924,-0.7532869638296075
0,2015-04-23,2349,-0.5193778322421204
